"","NVC_Class","NCells","State"
"579",6155,347603,"North Dakota"
"580",6156,4302435,"North Dakota"
"581",6157,39654673,"North Dakota"
"582",6161,103,"North Dakota"
"583",6164,1586622,"North Dakota"
"584",6165,43720,"North Dakota"
"585",6212,7847,"North Dakota"
"586",6228,4840,"North Dakota"
"587",6230,3002,"North Dakota"
"588",6231,1522513,"North Dakota"
"589",6232,9744,"North Dakota"
"590",6234,840522,"North Dakota"
"591",6237,11997,"North Dakota"
"592",6238,2504054,"North Dakota"
"593",6251,8325,"North Dakota"
"594",6252,26052,"North Dakota"
"595",6286,341201,"North Dakota"
"596",6287,161292,"North Dakota"
"597",6290,23019,"North Dakota"
"598",6310,4,"North Dakota"
"599",6317,373052,"North Dakota"
"600",6318,257566,"North Dakota"
"601",6437,8771,"North Dakota"
"602",6438,10599,"North Dakota"
"603",6501,16,"North Dakota"
"604",6502,8404,"North Dakota"
"605",6557,881731,"North Dakota"
"606",6637,4958229,"North Dakota"
"607",7191,1519,"North Dakota"
"608",7192,66,"North Dakota"
"609",7193,333,"North Dakota"
"610",7195,9990,"North Dakota"
"611",7196,49,"North Dakota"
"612",7197,57,"North Dakota"
"613",7198,480,"North Dakota"
"614",7199,71,"North Dakota"
"615",7200,517,"North Dakota"
"616",7292,8445200,"North Dakota"
"617",7295,127831,"North Dakota"
"618",7296,513094,"North Dakota"
"619",7297,174924,"North Dakota"
"620",7298,56423,"North Dakota"
"621",7299,5739993,"North Dakota"
"622",7900,279048,"North Dakota"
"623",7901,31511,"North Dakota"
"624",7902,98086,"North Dakota"
"625",7903,1688111,"North Dakota"
"626",7904,411646,"North Dakota"
"627",7920,8952,"North Dakota"
"628",7922,1873,"North Dakota"
"629",7923,2787,"North Dakota"
"630",7924,167143,"North Dakota"
"631",7940,3515,"North Dakota"
"632",7942,5227,"North Dakota"
"633",7943,129,"North Dakota"
"634",7944,17034,"North Dakota"
"635",7964,61220195,"North Dakota"
"636",7965,14012448,"North Dakota"
"637",7966,847779,"North Dakota"
"638",7967,16393590,"North Dakota"
"639",7968,40574875,"North Dakota"
"640",9314,29842,"North Dakota"
"641",9315,127471,"North Dakota"
"642",9316,54295,"North Dakota"
"643",9317,16323,"North Dakota"
"644",9318,482908,"North Dakota"
"645",9816,9810164,"North Dakota"
"646",9817,905391,"North Dakota"
"647",-9999,55021755,"Minnesota"
"648",6035,3463431,"Minnesota"
"649",6036,14350119,"Minnesota"
"650",6037,191341,"Minnesota"
"651",6038,1082099,"Minnesota"
"652",6039,1591,"Minnesota"
"653",6040,54757,"Minnesota"
"654",6043,42786454,"Minnesota"
"655",6044,715795,"Minnesota"
"656",6046,15833427,"Minnesota"
"657",6048,712470,"Minnesota"
"658",6049,1275118,"Minnesota"
"659",6051,2820206,"Minnesota"
"660",6052,7,"Minnesota"
"661",6100,3,"Minnesota"
"662",6101,1930188,"Minnesota"
"663",6102,1566216,"Minnesota"
"664",6105,207,"Minnesota"
"665",6106,20388633,"Minnesota"
"666",6130,15293635,"Minnesota"
"667",6131,87797,"Minnesota"
"668",6159,1785,"Minnesota"
"669",6163,114310,"Minnesota"
"670",6164,1897644,"Minnesota"
"671",6165,314418,"Minnesota"
"672",6192,578,"Minnesota"
"673",6197,5,"Minnesota"
"674",6199,5,"Minnesota"
"675",6209,401574,"Minnesota"
"676",6211,1893996,"Minnesota"
