"","NVC_Class","NCells","State"
"680",-9999,44,"NH"
"681",6029,867900,"NH"
"682",6030,61,"NH"
"683",6031,621966,"NH"
"684",6036,41116,"NH"
"685",6043,7639586,"NH"
"686",6044,5456870,"NH"
"687",6045,2851123,"NH"
"688",6047,667093,"NH"
"689",6049,409854,"NH"
"690",6051,1500,"NH"
"691",6052,188,"NH"
"692",6101,165954,"NH"
"693",6103,4157,"NH"
"694",6104,31909,"NH"
"695",6105,641520,"NH"
"696",6106,115623,"NH"
"697",6129,288,"NH"
"698",6130,26991,"NH"
"699",6189,24800,"NH"
"700",6190,552,"NH"
"701",6194,45,"NH"
"702",6197,251,"NH"
"703",6208,57,"NH"
"704",6209,9027,"NH"
"705",6211,45355,"NH"
"706",6212,26781,"NH"
"707",6213,9178,"NH"
"708",6222,3,"NH"
"709",6228,98799,"NH"
"710",6230,76532,"NH"
"711",6253,14280,"NH"
"712",6254,67,"NH"
"713",6292,11477,"NH"
"714",6298,11,"NH"
"715",6310,1421,"NH"
"716",6326,5699,"NH"
"717",6450,512062,"NH"
"718",6451,243721,"NH"
"719",6501,8589,"NH"
"720",6503,332,"NH"
"721",6590,51103,"NH"
"722",6593,39,"NH"
"723",6594,231,"NH"
"724",6613,21000,"NH"
"725",6630,9227,"NH"
"726",6692,3033,"NH"
"727",6827,21312,"NH"
"728",7191,183482,"NH"
"729",7192,60649,"NH"
"730",7193,225779,"NH"
"731",7195,188,"NH"
"732",7196,69,"NH"
"733",7197,34,"NH"
"734",7198,2015,"NH"
"735",7199,848,"NH"
"736",7200,7566,"NH"
"737",7292,1102467,"NH"
"738",7295,17025,"NH"
"739",7296,461282,"NH"
"740",7297,231047,"NH"
"741",7298,71408,"NH"
"742",7299,884919,"NH"
"743",7905,90548,"NH"
"744",7906,222049,"NH"
"745",7907,233863,"NH"
"746",7908,201728,"NH"
"747",7909,90727,"NH"
"748",7930,133271,"NH"
"749",7931,207787,"NH"
"750",7932,360613,"NH"
"751",7933,65260,"NH"
"752",7934,164985,"NH"
"753",7951,23,"NH"
"754",7952,140785,"NH"
"755",7953,5835,"NH"
"756",7954,28051,"NH"
"757",7970,7583,"NH"
"758",7971,17,"NH"
"759",7972,1054,"NH"
"760",7973,270,"NH"
"761",7974,82091,"NH"
"762",7975,9961,"NH"
"763",7976,1257,"NH"
"764",7977,428224,"NH"
"765",7978,215,"NH"
"766",9312,184358,"NH"
"767",9314,3492,"NH"
"768",9315,69051,"NH"
"769",9317,50938,"NH"
"770",9318,2928,"NH"
"771",9817,132329,"NH"
"772",NA,27392227,"NH"
"773",-9999,54013,"NC"
"774",6006,1754231,"NC"
"775",6009,843899,"NC"
"776",6010,1839922,"NC"
"777",6013,146303,"NC"
"778",6015,774985,"NC"
"779",6028,9890781,"NC"
"780",6030,2,"NC"
"781",6031,117,"NC"
"782",6033,513821,"NC"
"783",6034,9821302,"NC"
"784",6042,251616,"NC"
"785",6047,524846,"NC"
"786",6053,70715,"NC"
"787",6054,14557228,"NC"
"788",6055,301339,"NC"
"789",6056,779,"NC"
"790",6097,406,"NC"
"791",6099,3567,"NC"
"792",6103,74694,"NC"
"793",6104,9349,"NC"
"794",6108,38639,"NC"
"795",6109,1553196,"NC"
"796",6111,306608,"NC"
"797",6112,1300597,"NC"
"798",6113,5665390,"NC"
"799",6115,70,"NC"
"800",6171,5659,"NC"
"801",6172,319,"NC"
"802",6174,16274,"NC"
"803",6190,2762,"NC"
"804",6194,115,"NC"
"805",6195,47547,"NC"
"806",6199,1375,"NC"
"807",6206,4783,"NC"
"808",6210,101987,"NC"
"809",6220,280188,"NC"
"810",6221,309,"NC"
"811",6222,24565,"NC"
"812",6224,650,"NC"
"813",6228,18,"NC"
"814",6232,160,"NC"
"815",6253,93221,"NC"
"816",6254,656099,"NC"
"817",6255,51719,"NC"
"818",6256,19584,"NC"
"819",6310,519,"NC"
"820",6356,141017,"NC"
"821",6357,360340,"NC"
"822",6414,445099,"NC"
"823",6415,10766,"NC"
"824",6505,1302,"NC"
"825",6506,8063,"NC"
"826",6511,704,"NC"
"827",6512,103,"NC"
"828",6513,8408,"NC"
"829",6591,34385,"NC"
"830",6594,3868,"NC"
"831",6606,16244,"NC"
"832",6610,5741504,"NC"
"833",6622,2049,"NC"
"834",7191,1707557,"NC"
"835",7192,280596,"NC"
"836",7193,961193,"NC"
"837",7195,110451,"NC"
"838",7196,20483,"NC"
"839",7197,38845,"NC"
"840",7198,8424,"NC"
"841",7199,1202,"NC"
"842",7200,9494,"NC"
"843",7292,15442761,"NC"
"844",7295,42254,"NC"
"845",7296,2695138,"NC"
"846",7297,1123807,"NC"
"847",7298,439542,"NC"
"848",7299,6265531,"NC"
"849",7905,504411,"NC"
"850",7906,1312592,"NC"
"851",7907,1535464,"NC"
"852",7908,2918813,"NC"
"853",7909,1028337,"NC"
"854",7930,141504,"NC"
"855",7931,446149,"NC"
"856",7932,4720295,"NC"
"857",7933,171740,"NC"
"858",7934,1265692,"NC"
"859",7935,1209117,"NC"
"860",7936,211133,"NC"
"861",7937,5196030,"NC"
