"layer","Class","NCells","label","State","County"
1,7292,18126,NA,"AL","Bullock County"
1,7295,3,NA,"AL","Bullock County"
1,7296,3965,NA,"AL","Bullock County"
1,7297,777,NA,"AL","Bullock County"
1,7298,237,NA,"AL","Bullock County"
1,7299,53692,NA,"AL","Bullock County"
1,7915,937,NA,"AL","Bullock County"
1,7916,4533,NA,"AL","Bullock County"
1,7917,5276,NA,"AL","Bullock County"
1,7918,2992,NA,"AL","Bullock County"
1,7919,4165,NA,"AL","Bullock County"
1,7935,32,NA,"AL","Bullock County"
1,7936,642,NA,"AL","Bullock County"
1,7937,39282,NA,"AL","Bullock County"
1,7938,612,NA,"AL","Bullock County"
1,7939,6618,NA,"AL","Bullock County"
1,7957,342,NA,"AL","Bullock County"
1,7959,2,NA,"AL","Bullock County"
1,7990,389,NA,"AL","Bullock County"
1,7992,4,NA,"AL","Bullock County"
1,7993,41,NA,"AL","Bullock County"
1,7994,37016,NA,"AL","Bullock County"
1,7995,1222,NA,"AL","Bullock County"
1,7996,11668,NA,"AL","Bullock County"
1,7997,150715,NA,"AL","Bullock County"
1,7998,83,NA,"AL","Bullock County"
1,7999,40,NA,"AL","Bullock County"
1,9319,119,NA,"AL","Bullock County"
1,9320,730,NA,"AL","Bullock County"
1,9321,555871,NA,"AL","Bullock County"
1,9322,589189,NA,"AL","Bullock County"
1,9323,3913,NA,"AL","Bullock County"
1,9324,44,NA,"AL","Bullock County"
1,9823,87176,NA,"AL","Bullock County"
1,6006,3212,NA,"AL","Butler County"
1,6012,22542,NA,"AL","Butler County"
1,6014,6726,NA,"AL","Butler County"
1,6015,1005,NA,"AL","Butler County"
1,6108,230,NA,"AL","Butler County"
1,6109,126,NA,"AL","Butler County"
1,6111,15115,NA,"AL","Butler County"
1,6112,1334,NA,"AL","Butler County"
1,6113,123332,NA,"AL","Butler County"
1,6186,47,NA,"AL","Butler County"
1,6222,4,NA,"AL","Butler County"
1,6414,2167,NA,"AL","Butler County"
1,6415,23,NA,"AL","Butler County"
1,6511,6,NA,"AL","Butler County"
1,6586,471,NA,"AL","Butler County"
1,7191,106225,NA,"AL","Butler County"
1,7192,15862,NA,"AL","Butler County"
1,7193,23127,NA,"AL","Butler County"
1,7195,3311,NA,"AL","Butler County"
1,7196,243,NA,"AL","Butler County"
1,7197,224,NA,"AL","Butler County"
1,7198,1233,NA,"AL","Butler County"
1,7199,266,NA,"AL","Butler County"
1,7200,4063,NA,"AL","Butler County"
1,7292,7187,NA,"AL","Butler County"
1,7295,93,NA,"AL","Butler County"
1,7296,6513,NA,"AL","Butler County"
1,7297,2130,NA,"AL","Butler County"
1,7298,710,NA,"AL","Butler County"
1,7299,67256,NA,"AL","Butler County"
1,7915,2432,NA,"AL","Butler County"
1,7916,10719,NA,"AL","Butler County"
1,7917,12108,NA,"AL","Butler County"
1,7918,7185,NA,"AL","Butler County"
1,7919,8738,NA,"AL","Butler County"
1,7935,173,NA,"AL","Butler County"
1,7936,3991,NA,"AL","Butler County"
1,7937,83520,NA,"AL","Butler County"
1,7938,1257,NA,"AL","Butler County"
1,7939,11980,NA,"AL","Butler County"
1,7954,9,NA,"AL","Butler County"
1,7955,4,NA,"AL","Butler County"
1,7957,323,NA,"AL","Butler County"
1,7959,9,NA,"AL","Butler County"
1,7990,137,NA,"AL","Butler County"
1,7993,1,NA,"AL","Butler County"
1,7994,22507,NA,"AL","Butler County"
1,7995,1390,NA,"AL","Butler County"
1,7996,2583,NA,"AL","Butler County"
1,7997,106740,NA,"AL","Butler County"
1,7998,1177,NA,"AL","Butler County"
1,9319,3591,NA,"AL","Butler County"
1,9320,27,NA,"AL","Butler County"
1,9321,543712,NA,"AL","Butler County"
1,9322,945174,NA,"AL","Butler County"
1,9323,3555,NA,"AL","Butler County"
1,9332,5,NA,"AL","Butler County"
1,9823,50553,NA,"AL","Butler County"
1,6028,156016,NA,"AL","Calhoun County"
1,6030,140,NA,"AL","Calhoun County"
1,6033,3470,NA,"AL","Calhoun County"
1,6034,75042,NA,"AL","Calhoun County"
1,6047,10,NA,"AL","Calhoun County"
1,6053,99873,NA,"AL","Calhoun County"
1,6054,28718,NA,"AL","Calhoun County"
1,6055,63515,NA,"AL","Calhoun County"
1,6056,17692,NA,"AL","Calhoun County"
1,6103,33083,NA,"AL","Calhoun County"
1,6113,428,NA,"AL","Calhoun County"
1,6176,748,NA,"AL","Calhoun County"
1,6196,584,NA,"AL","Calhoun County"
1,6199,10,NA,"AL","Calhoun County"
1,6212,40,NA,"AL","Calhoun County"
1,6227,55,NA,"AL","Calhoun County"
1,6228,170,NA,"AL","Calhoun County"
1,6230,193,NA,"AL","Calhoun County"
1,6305,10,NA,"AL","Calhoun County"
1,6356,158310,NA,"AL","Calhoun County"
1,6357,35242,NA,"AL","Calhoun County"
1,6506,7,NA,"AL","Calhoun County"
1,7191,20732,NA,"AL","Calhoun County"
1,7192,4039,NA,"AL","Calhoun County"
1,7193,27754,NA,"AL","Calhoun County"
1,7195,2030,NA,"AL","Calhoun County"
1,7196,62,NA,"AL","Calhoun County"
1,7197,3427,NA,"AL","Calhoun County"
1,7198,924,NA,"AL","Calhoun County"
1,7199,202,NA,"AL","Calhoun County"
1,7200,6870,NA,"AL","Calhoun County"
1,7292,22452,NA,"AL","Calhoun County"
1,7295,1109,NA,"AL","Calhoun County"
1,7296,42369,NA,"AL","Calhoun County"
1,7297,17351,NA,"AL","Calhoun County"
1,7298,7112,NA,"AL","Calhoun County"
1,7299,104916,NA,"AL","Calhoun County"
1,7905,4453,NA,"AL","Calhoun County"
1,7906,30767,NA,"AL","Calhoun County"
1,7907,20741,NA,"AL","Calhoun County"
1,7908,42425,NA,"AL","Calhoun County"
1,7909,17883,NA,"AL","Calhoun County"
1,7935,42485,NA,"AL","Calhoun County"
1,7936,21716,NA,"AL","Calhoun County"
1,7937,144915,NA,"AL","Calhoun County"
1,7938,1188,NA,"AL","Calhoun County"
1,7939,23549,NA,"AL","Calhoun County"
1,7954,143,NA,"AL","Calhoun County"
1,7957,9524,NA,"AL","Calhoun County"
1,7958,6,NA,"AL","Calhoun County"
1,7959,46,NA,"AL","Calhoun County"
1,7970,6,NA,"AL","Calhoun County"
1,7973,3,NA,"AL","Calhoun County"
1,7974,38403,NA,"AL","Calhoun County"
1,7975,5629,NA,"AL","Calhoun County"
1,7976,425,NA,"AL","Calhoun County"
1,7977,144017,NA,"AL","Calhoun County"
1,7978,180,NA,"AL","Calhoun County"
1,9312,23,NA,"AL","Calhoun County"
1,9320,6964,NA,"AL","Calhoun County"
1,9321,92939,NA,"AL","Calhoun County"
1,9322,175028,NA,"AL","Calhoun County"
1,9323,642,NA,"AL","Calhoun County"
1,9324,45,NA,"AL","Calhoun County"
1,9823,12409,NA,"AL","Calhoun County"
1,6034,37176,NA,"AL","Chambers County"
1,6053,307,NA,"AL","Chambers County"
1,6054,274693,NA,"AL","Chambers County"
1,6055,6915,NA,"AL","Chambers County"
1,6113,88124,NA,"AL","Chambers County"
1,6115,897,NA,"AL","Chambers County"
1,6199,22,NA,"AL","Chambers County"
1,6356,3218,NA,"AL","Chambers County"
1,6357,1560,NA,"AL","Chambers County"
1,6506,332,NA,"AL","Chambers County"
1,7191,49503,NA,"AL","Chambers County"
1,7192,8708,NA,"AL","Chambers County"
1,7193,81486,NA,"AL","Chambers County"
1,7195,4446,NA,"AL","Chambers County"
1,7196,587,NA,"AL","Chambers County"
1,7197,1082,NA,"AL","Chambers County"
1,7198,173,NA,"AL","Chambers County"
1,7199,30,NA,"AL","Chambers County"
1,7200,2706,NA,"AL","Chambers County"
1,7292,20153,NA,"AL","Chambers County"
1,7295,89,NA,"AL","Chambers County"
1,7296,14355,NA,"AL","Chambers County"
1,7297,3235,NA,"AL","Chambers County"
1,7298,1325,NA,"AL","Chambers County"
1,7299,59349,NA,"AL","Chambers County"
1,7905,710,NA,"AL","Chambers County"
1,7906,15618,NA,"AL","Chambers County"
1,7907,5013,NA,"AL","Chambers County"
1,7908,15602,NA,"AL","Chambers County"
1,7909,7336,NA,"AL","Chambers County"
1,7935,1539,NA,"AL","Chambers County"
1,7936,3507,NA,"AL","Chambers County"
1,7937,77522,NA,"AL","Chambers County"
1,7938,107,NA,"AL","Chambers County"
1,7939,6488,NA,"AL","Chambers County"
1,7954,44,NA,"AL","Chambers County"
1,7957,2019,NA,"AL","Chambers County"
1,7959,4,NA,"AL","Chambers County"
1,7973,4,NA,"AL","Chambers County"
1,7974,5656,NA,"AL","Chambers County"
1,7975,19,NA,"AL","Chambers County"
1,7976,122,NA,"AL","Chambers County"
1,7977,140490,NA,"AL","Chambers County"
1,7978,412,NA,"AL","Chambers County"
1,9320,3223,NA,"AL","Chambers County"
1,9321,316535,NA,"AL","Chambers County"
1,9322,453745,NA,"AL","Chambers County"
1,9323,384,NA,"AL","Chambers County"
1,9324,45,NA,"AL","Chambers County"
1,9823,15787,NA,"AL","Chambers County"
1,6028,184672,NA,"AL","Cherokee County"
1,6030,46,NA,"AL","Cherokee County"
1,6033,2048,NA,"AL","Cherokee County"
1,6034,44885,NA,"AL","Cherokee County"
1,6047,12,NA,"AL","Cherokee County"
1,6053,82287,NA,"AL","Cherokee County"
1,6055,64125,NA,"AL","Cherokee County"
1,6056,1916,NA,"AL","Cherokee County"
1,6097,27,NA,"AL","Cherokee County"
1,6103,49502,NA,"AL","Cherokee County"
1,6176,315,NA,"AL","Cherokee County"
1,6196,611,NA,"AL","Cherokee County"
1,6199,12,NA,"AL","Cherokee County"
1,6212,57,NA,"AL","Cherokee County"
1,6227,54,NA,"AL","Cherokee County"
1,6228,101,NA,"AL","Cherokee County"
1,6230,287,NA,"AL","Cherokee County"
1,6305,1,NA,"AL","Cherokee County"
1,6356,84121,NA,"AL","Cherokee County"
1,6357,47066,NA,"AL","Cherokee County"
1,7191,31046,NA,"AL","Cherokee County"
1,7192,5212,NA,"AL","Cherokee County"
1,7193,50887,NA,"AL","Cherokee County"
1,7195,273,NA,"AL","Cherokee County"
1,7196,8,NA,"AL","Cherokee County"
1,7197,1210,NA,"AL","Cherokee County"
1,7198,194,NA,"AL","Cherokee County"
1,7199,147,NA,"AL","Cherokee County"
1,7200,1576,NA,"AL","Cherokee County"
1,7292,137679,NA,"AL","Cherokee County"
1,7295,282,NA,"AL","Cherokee County"
